Date,Location,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),Nitrate Level (mg/kg),Phosphorus Level (mg/kg),Potassium Level (mg/kg),Crop Type,Crop Yield (kg/ha),Fertilizer Used (kg/ha),Pesticides Used (kg/ha),Water Usage (L/ha)
02:25.0,Farm D,26.91,87.99,39.24,6.53,26.92,28.8,38.64,14.16,Corn,2361.22,,4.9,432.36
02:25.0,Farm A,19.09,82.6,2.63,6.72,,21.96,22.71,29.86,Corn,2805.46,129.03,5.48,888.59
02:25.0,Farm C,33.87,54.78,49.83,5.95,32.49,34.74,18.32,48.54,Rice,,145.68,8.42,111.47
02:25.0,Farm D,33.51,32.32,3.62,,25.22,5.04,15.78,15.58,Soybeans,1323.29,59.26,6.71,460.17
02:25.0,Farm C,29.31,47.27,19.29,5.87,34.93,35.01,15.42,,Rice,1452.77,,8.52,1738.32
02:25.0,Farm C,26.14,63.6,46.2,,33.89,41.77,16.84,,Rice,2821.96,87.81,7.42,481.75
02:25.0,Farm D,21.77,48.23,18.36,5.73,23,6.82,18.41,19.59,Soybeans,3630.02,198.51,5.96,
02:25.0,Farm D,26.23,49.02,35.29,6.57,26.75,35.88,29.28,2.85,Wheat,4350,57.81,8.52,1845.93
02:25.0,Farm C,16.94,60.82,13.33,6.92,25.6,23.56,8.55,18.34,,2365.71,65.71,1.71,135.48
02:25.0,Farm B,,69.1,14.93,5.67,23.67,,33.39,41.45,Wheat,,77.85,5.31,895.21
02:25.0,Farm D,,80.55,48.94,6.59,,49.58,36.81,47.63,Rice,,77.45,8.28,1599.18
02:25.0,,15.26,82.98,26.58,5.65,,47.59,28.45,29.15,Corn,1776.67,135.96,0.31,873.7
02:25.0,Farm B,27.59,88.45,27.43,7.89,19.71,28.32,12,33.15,Wheat,2872.32,120.81,5.62,1242.67
02:25.0,Farm C,,78.94,42.6,6.79,29.36,39.45,21.83,29.06,Soybeans,1770.56,107.83,2.41,
02:25.0,,34,,,6.13,35.86,21.47,27.53,47.17,Rice,3441.75,194.34,,1684.35
02:25.0,Farm B,29.12,83.09,16.65,6.52,20.36,42.98,22.52,1.6,Wheat,2969.33,191.22,5.65,410.22
02:25.0,Farm D,24.95,41.74,21.15,5.9,36.93,14.34,30.1,39.13,Wheat,1796.01,51.57,4.76,281.2
,Farm C,27.57,70.73,17,7.31,29.31,15.49,30.77,42.43,Soybeans,2112.46,149.23,7.15,412.03
02:25.0,Farm C,18.18,75.34,,7.97,25.73,2.07,1.38,14.16,Corn,1198.82,77.84,5.44,1041.53
02:25.0,Farm C,17.43,60.48,1.66,5.33,,39.83,,48.18,Rice,2031.07,156.82,4.32,1426.71
02:25.0,Farm D,18.08,,40.76,6.8,24.69,0.21,20,4.7,Rice,3566.62,43.76,7.1,661.1
02:25.0,Farm C,,,44.04,5.77,23.66,41.41,4.15,31.25,Soybeans,2775.01,184.96,6.55,1637.83
02:25.0,Farm C,28.11,56.27,,7.8,12.84,30.68,12.11,8.01,Wheat,3477.29,190.72,,404.45
02:25.0,Farm C,23.72,74.73,,,,17.95,20.37,43.45,Rice,3515.99,191.79,4.91,1505.34
02:25.0,Farm A,24.01,81.09,,7.48,17.27,22.04,11.62,6.11,Soybeans,4223.63,137.71,9.4,1771.93
02:25.0,Farm D,32.73,83.64,30.06,5.26,30.1,13.7,2.67,6.72,Corn,4961.17,43.04,4.87,
02:25.0,Farm C,32.79,89.7,36.71,7.36,11.89,19.82,16.77,34.42,Wheat,1018.11,41.39,5.23,
02:25.0,,23.61,85.9,26.94,6.3,36.94,9.54,28.15,16.03,Wheat,1468.5,176.91,9.23,460.38
02:25.0,Farm D,30.25,89.13,23.47,6.15,,15.27,4.77,37.56,Corn,4969.38,,5.62,971.34
02:25.0,Farm B,,63.17,32.73,5.93,10.17,,30.72,39.61,Rice,3442.5,68.94,,1702.13
02:25.0,,26.68,52.61,40.04,7.53,12.77,27.39,,34.15,Corn,3407.03,174.27,7.75,1002.05
02:25.0,Farm A,29.55,46.73,10.16,5.94,11.12,13.65,14.82,30.17,,2193.26,184.43,6.38,761.47
02:25.0,Farm A,,57.17,,6.49,28.47,23.65,27.34,,Rice,4792.11,156.21,,1491.3
02:25.0,Farm C,,61.5,11.15,6.18,26.33,12.17,9.3,2.76,Corn,,72.29,,1890.73
02:25.0,Farm B,27.44,88.02,2.44,6.89,,6.98,21.35,5.9,Wheat,4125.36,104.5,,1410.6
02:25.0,Farm D,,70.43,31.65,7,18.96,41.5,28.54,,Wheat,3773.75,126.17,7.83,277
,Farm D,26.8,47.12,,6.04,16.46,14.42,6.35,20.92,Soybeans,1998.95,83.57,7.92,445.78
02:25.0,Farm B,28.58,84.85,,6.5,33.2,23.26,7.35,9.92,Corn,1151.27,4.37,8.2,1595.64
02:25.0,Farm D,15.96,80.36,7.92,6.16,30.54,11.79,,27.17,Wheat,3241.74,,4.84,845.86
02:25.0,Farm B,15.86,89.18,28.53,6.5,18.92,46.29,32.03,24.23,,2583.08,50.68,0.33,1296.62
02:25.0,Farm A,23.41,45.3,,7.47,13.84,30.94,27.46,48.64,Corn,4311.16,34.42,,1134.47
02:25.0,Farm C,24.12,54.81,39.76,6.99,20.13,14.98,38.02,7.47,Wheat,1496.25,57.62,8.91,1956.47
02:25.0,Farm D,33.05,,43,6.06,21.49,38.3,18.1,,Corn,4168.85,133.63,4.39,1456.22
02:25.0,Farm A,29.41,86.62,40.76,6.89,38.78,36.72,15.35,11,Wheat,2681.09,167.49,5.32,386.79
02:25.0,Farm A,32.22,58.89,40.58,,25.72,9.8,12.96,39.14,Wheat,2169.35,6.32,2.37,1396.55
02:25.0,Farm D,17.77,84.14,,7.65,14.38,39,18.08,28.73,Soybeans,1607.62,175.18,,1474.76
,Farm A,23.06,87.01,,5.74,14.45,14.92,0.28,42.27,Soybeans,2153.9,145.95,6.15,865.63
02:25.0,Farm D,20.86,60.33,,5.57,18.79,38.88,23.65,19.79,Soybeans,3384.23,38.5,9.65,654.01
,Farm C,24.9,61.12,23.05,6.07,37.21,16.64,20.54,42.65,Corn,3600.83,153.36,1.83,1769.72
02:25.0,Farm A,33.63,68.66,,7.08,13.72,15.25,21.75,4.77,Soybeans,4700.77,73.14,1.29,1063.96
02:25.0,Farm A,16.96,,1.46,5.9,39.54,29.62,,49.45,,,,6.24,
02:25.0,,25.85,84.23,48.22,7.79,27.21,46.87,28.7,26.21,Corn,4054.61,12.52,2.52,1885.21
02:25.0,Farm A,33.75,78.61,,7.56,38.71,24.05,37.01,17.19,Soybeans,2190.58,0.63,,318.66
02:25.0,Farm C,25.54,70.38,8.61,7.33,10.8,32.55,15.08,45.98,Corn,3667.99,164.15,3.56,1543.72
02:25.0,Farm C,33.19,54.45,49.62,5.63,10.66,19.58,12.82,29.36,Wheat,3403.67,,5.08,599.51
02:25.0,Farm A,15.54,53.88,8.84,5.7,23.62,23.67,7.01,3.83,Corn,3168.79,177.38,4.8,1801.8
02:25.0,Farm A,25.31,,,6.66,20.83,30.1,18.6,0.5,Soybeans,4371.44,184.67,4.71,
,Farm D,19.48,37.41,41.53,5.39,29.9,18.18,25.77,39.49,Rice,1691.81,124.95,8.38,305.08
02:25.0,Farm D,,,31.52,7.36,22.22,29.35,28.91,2.33,Wheat,3894.35,65.55,5.32,1861.94
,Farm D,33.1,32.5,7.28,6.26,14.62,4.76,15.9,40.79,Soybeans,3561.69,186.08,9.62,408.68
02:25.0,Farm A,22.77,82.62,0.81,5.35,21.05,21.2,36.4,16.27,,4142.64,22.62,1.56,
02:25.0,Farm D,29.02,,25.9,7.81,,15.04,28.13,4.38,Rice,4905.75,21.25,9.75,720.66
02:25.0,Farm C,33.12,34.04,20.81,,21.03,13.32,28.85,42.36,,4912,63.38,0.11,1623.9
02:25.0,Farm D,34.79,54.14,24.37,7.42,28.55,11.3,11.19,48.33,Rice,4625.31,173.77,1.3,515.86
02:25.0,Farm D,29.55,50.99,6.83,7.04,25,41.99,20.9,25.49,Soybeans,2142.22,48.31,5.57,1874.86
02:25.0,Farm C,32.92,87.46,14.53,5.2,,44.16,36.72,29.47,Soybeans,3673.35,24.7,8.54,1900.14
,Farm C,32.44,44.84,1.42,6.93,10.17,45.69,33.47,,Corn,4527.4,21.78,,
02:25.0,Farm C,29.9,32.37,46.43,5.23,13.63,45.12,38.87,12.34,Corn,,133.99,8.86,1851.72
02:25.0,Farm B,31.31,59.57,6.21,6.32,25.57,49.56,12.89,44.06,Rice,3696.63,81.24,,1023.49
,Farm A,29.23,,31.55,5.66,13.25,10.51,30.36,8.29,Corn,2521.85,125.51,5.17,
02:25.0,Farm D,15.71,68.6,35.11,7.2,11.91,43.9,9.86,,Rice,1482.95,90.49,7.25,433.55
,Farm A,23.64,30.91,13.84,6.6,20.1,14.18,25.56,2.68,Wheat,2843.57,,,
02:25.0,Farm C,,67.07,31.59,7.36,11.59,47,,5.9,Wheat,3662.03,158.21,5.16,
02:25.0,Farm C,23.9,71.61,42.63,5.7,13.46,46.6,1.69,8.02,Corn,1370.58,,9.63,457.63
02:25.0,Farm B,33.79,82.33,14.9,7.2,33.89,30.23,14.79,41.58,Rice,2436.48,8.6,1.95,718.44
02:25.0,Farm A,30.93,77.95,21.92,5.17,,24.16,12.63,33.74,Wheat,1091.76,50.98,,1928.81
02:25.0,Farm C,,55.67,16.77,6.13,38.46,27.41,21.73,26.39,Wheat,3359.06,94.51,3.83,1459.66
02:25.0,Farm A,20.86,89.59,,6.05,,27.34,20.11,1.7,,3288.79,88.4,,
02:25.0,Farm C,22.28,58.16,5.11,7.89,39.97,17.05,13.95,39.46,,,6.31,4.81,1681.67
,Farm B,23.25,48.19,44.65,5.85,,4.44,15.38,31.34,Corn,3691.01,182.25,3.5,1242.57
02:25.0,Farm D,34.32,83.72,16.48,5.66,33.6,22.57,5.1,5.03,Corn,2506.57,136.36,2.74,
02:25.0,Farm D,27.72,64.25,45.85,5.8,14.32,2.55,0.89,2.27,Corn,1996.39,81.14,9.32,346.99
02:25.0,Farm B,27.28,72.76,6.94,5.05,,4.62,31.74,22.7,Wheat,1453.04,10.31,,1343.45
,,24,32.8,13.19,6.09,14.36,21.07,29.93,,Rice,3109.31,42.28,,599.24
02:25.0,Farm B,,30.25,0.19,,30.9,8.63,23.78,6.99,Rice,3251.31,63.89,,1976.36
02:25.0,Farm A,15.45,30.87,26.84,6.73,37.54,0.88,12.11,,Corn,3621.19,76.84,,965.04
02:25.0,Farm A,26.47,64.47,,6.42,26.64,34.77,13.26,9.29,Soybeans,4130.4,132.46,0.54,689.24
02:25.0,Farm D,19.94,80.71,37.81,7.4,14.03,40.29,10.75,30.51,Rice,4225.71,7.86,,237.52
,Farm A,21.88,76.77,1.54,6.08,13.33,36.14,,42.25,Corn,2231.08,129.64,1.14,179.78
,Farm C,34.4,,41.23,7.5,10.72,19.89,7.08,34.92,Soybeans,3234.75,188.22,6.1,
02:25.0,Farm B,27.39,48.54,27.97,6.18,14.91,31.56,18.18,3.72,Rice,,103.87,3.44,1413.96
02:25.0,,18.4,78.26,2.71,6.11,17.84,,39.3,28.5,Corn,4921.58,28.27,1.56,1687.09
02:25.0,Farm C,30.66,51.23,13.82,5.91,28.55,5.49,32.54,13.84,Corn,3344.64,123.93,6.2,1964.21
02:25.0,Farm A,,53.24,25.92,5.14,23.41,24.6,26.86,25.61,Wheat,2035.82,91.07,2.58,1667.25
02:25.0,Farm C,28.08,35.65,34.02,6.2,35.1,7.44,,30.26,Corn,2111.46,3.71,0.65,985.68
,,21.59,51.2,,5.26,26.46,37.25,,14.36,Corn,1329.3,165.53,9.09,861.63
02:25.0,,26.48,68.03,3.69,6,15.37,19.3,14.11,41.93,Corn,4137.92,126.21,2.38,
02:25.0,Farm D,19.74,71.75,25.27,6.81,31.51,5.08,4.37,49.52,Corn,2221.83,165.92,2.63,
02:25.0,Farm C,34.38,,13.43,5.21,38.56,,23.26,29.76,Soybeans,2176.41,16.83,3.12,944.47
02:25.0,Farm A,23.4,74.77,23.34,7.79,12.15,47.93,11.71,,Corn,1143.02,77.75,4.33,1400.98
02:25.0,Farm A,26.87,79.27,,5.57,23.27,49.93,0.83,,Soybeans,4032.86,110.88,8.86,
02:25.0,Farm B,16.63,70.18,7.48,5.11,,45.52,39.56,38.97,Rice,,6.64,6.93,
02:25.0,Farm B,16.42,68.2,42.18,5.53,29.71,30.43,28,34.65,Corn,3474.84,163.66,4.24,810
02:25.0,Farm D,18.99,70.39,36.15,6.3,21.1,44.01,2.8,10.31,Corn,1982.46,195.97,6.33,366.7
02:25.0,Farm C,26.6,59.66,14.13,5.93,27.91,14.07,14.11,28.2,Wheat,2848.35,96.27,2.76,649.74
02:25.0,Farm D,24.93,72.38,10.05,5,25.38,4.71,18.01,30.44,Wheat,3289.55,45.85,0.13,1387.63
02:25.0,Farm D,32.61,,37.56,,32.16,9.1,11.92,22.9,Soybeans,4753.32,82.5,3.78,1860.11
02:25.0,Farm D,28.35,81.42,31.87,6.52,15.28,45.71,20.67,36.28,,2359.38,44.63,1.14,1432.42
02:25.0,,24.02,33.97,19.13,6.32,36.47,26.18,14.38,32.94,Corn,1180.14,114.57,6.5,1743.59
02:25.0,Farm D,,47.72,38.14,6.33,21.41,29.4,33.74,0.02,Wheat,3265.75,45.98,9.44,172.61
02:25.0,Farm C,32.94,51.41,31.18,5.06,11.41,32.75,3.6,4.19,Corn,1123.32,,1.88,769.62
,Farm C,34.47,35.44,15.33,7.38,,45.94,17.31,39.15,Rice,2508.06,155.09,4.04,1983.93
02:25.0,,17.19,64,39.15,7.07,38.88,7.25,21.54,39.68,Wheat,2857.65,,1.48,404.71
02:25.0,Farm C,27.74,38.08,21.07,7.42,33.07,39.65,20.41,7.15,Corn,2043.72,114.88,1.32,1087.08
,Farm D,,,39.39,7.1,36.34,30.92,1.06,23.35,Wheat,3253.35,111.55,9.11,782.25
02:25.0,,27.99,86.6,36.22,6.89,14.88,,35.69,14.38,Wheat,,196.41,2.23,1696.87
02:25.0,Farm D,31.82,80.06,32.52,7.63,19.55,47.33,5.12,38.41,Wheat,,128.57,7.51,1188.44
02:25.0,Farm B,31.19,65.35,7.55,,11.35,32.4,34.94,24.52,Corn,2956.35,60.63,1.95,409.9
02:25.0,Farm C,34.85,70.45,2.6,7.36,34.04,20.35,33.38,10.39,Corn,3811.12,,6.1,1454.68
02:25.0,Farm A,29.51,,37.44,6.07,29.06,25.42,33.8,33.32,Wheat,,,8.59,671.72
02:25.0,Farm D,34.45,38.3,43.27,6.54,33.94,48.7,15.19,47.31,,1878.27,118.74,4,1786.43
,Farm B,,69.49,3.08,6.42,24.99,46.64,,38.47,Wheat,2046.82,79.84,0.01,1686.85
02:25.0,Farm A,17.53,61.5,4.99,6.4,36.56,39.68,16.08,,Wheat,1010.5,32.13,1.16,734.18
02:25.0,Farm A,29.1,43.79,33.33,6.97,20.08,22.96,9.84,,Corn,,24.6,5.64,1710.65
02:25.0,Farm B,32.73,63.05,20.55,5.2,39.25,12.58,26.28,6.15,Corn,4125.95,,5.62,1576.19
02:25.0,Farm B,18.26,77.66,24.2,,14.2,21.09,,1.18,Rice,4506.48,103.92,0.23,1804.95
02:25.0,Farm D,,35.52,7.89,7.7,31.76,14.42,18.59,0.01,Rice,3929.29,171.54,6.48,1876.69
,Farm B,23.29,38.74,6.65,6.92,39.04,6.45,17.6,31.78,,3279.44,182.24,7.41,1568.14
02:25.0,,34.77,87.07,,5.69,19.61,43.16,24.07,26.36,Wheat,,52.11,6.2,746.18
02:25.0,Farm A,18.5,30.6,17.27,7.55,12.81,8.83,38.75,32.7,Corn,2016.63,49.78,,1697.61
02:25.0,Farm B,21.13,67.97,43.78,7.71,36.41,36.07,13.9,30.25,Wheat,3542.43,185.76,6.89,
02:25.0,Farm D,15.15,59.11,16.74,5.91,18.23,21.95,6,42.61,Corn,2162.27,125.99,1.48,384.27
02:25.0,Farm C,,36.59,12.14,6.18,19.84,30.89,5.65,5.14,Soybeans,1642.82,7.04,,488.81
02:25.0,Farm D,,47.17,10.71,6.66,34.68,2.12,10.63,32.47,Corn,3114.45,53.28,6.08,594.78
02:25.0,Farm B,31.36,64.81,,7,29,27.77,18.54,30.05,Corn,2579.7,41.83,4.68,1165.09
02:25.0,Farm B,15.87,80.25,11.36,5.76,21.96,31.93,,,Rice,2827.17,106.87,3.84,442.42
02:25.0,Farm A,17.35,89.32,15.57,7.27,,32.61,20.6,4.97,Rice,1444.81,172.5,5.06,908.6
02:25.0,Farm C,27.08,36.87,31.96,7.13,35.87,29.11,35.77,24.6,Wheat,1979.25,150.53,6.1,1653.32
02:25.0,Farm B,16.18,49.79,16.39,7.05,,6.63,16.3,6.07,Rice,3893.92,10.55,1.9,
02:25.0,Farm C,23.78,78.03,39.37,7.62,20.2,37.99,1.65,6.24,Rice,1607.04,163.99,1.36,
02:25.0,Farm A,32.84,60.47,37.87,7.25,31.55,29.77,7.52,37.19,Rice,1086.84,133.54,0.3,
,,25.67,,18.82,5.88,24.74,7.96,12.72,12.89,Wheat,1234.83,11.4,3.86,1880.01
02:25.0,Farm C,18.62,49.06,23.75,6.37,21.35,21.76,12.1,,Soybeans,2123.71,87.8,2.45,1171.42
02:25.0,Farm C,19,,16.71,5.74,30.34,,39.45,31.07,Soybeans,2310.88,80.53,9.49,
02:25.0,Farm C,23,86.27,39.33,6.98,,36.4,19.02,23.16,Corn,3731.44,,6.79,738.74
02:25.0,Farm A,31.54,61.54,16.74,6.48,27.12,46.9,16.62,34.49,Rice,,87.45,1.26,1786.22
,Farm A,32.43,46.32,2.31,,,,21.9,47.66,Wheat,2373.92,93.56,0.38,201.07
02:25.0,Farm A,25.16,85.73,1.28,5.02,29.62,30.89,12.82,0.2,Corn,3338.23,98.3,1.7,1976.81
02:25.0,Farm C,18.52,51.97,0.74,5.3,32.33,5.04,21.78,,Soybeans,2038.11,163.19,2.7,647.15
02:25.0,Farm C,31.7,,31.43,5.02,10.48,15.85,27.17,32.29,Wheat,,156.1,0.79,1504.25
02:25.0,Farm D,,50.75,8.26,6.87,24.01,33.9,15.2,28.48,Soybeans,,192.13,9.23,107.66
02:25.0,Farm C,32.5,71.53,35.71,5.21,32.73,28.08,17.65,28.82,Corn,4310.27,,3.01,
02:25.0,Farm A,33.6,30.01,12.5,6.45,24.94,,31.77,38.22,Wheat,4310.59,,1.21,944.62
02:25.0,Farm B,,80.74,24.53,6.11,21.74,15.87,31.54,7.83,Soybeans,1119.3,104.03,1.56,1729.26
02:25.0,Farm B,20.91,67.57,45.14,6.33,31.64,32.78,37.78,,Rice,2912.11,,8.04,846.74
02:25.0,Farm D,24.48,46.52,,6.11,18.63,23.49,37.38,22.91,Soybeans,2056.39,86.55,6.62,511.86
02:25.0,Farm A,27.12,56.82,,7.34,38.85,40.23,38.42,49.43,Wheat,2174.36,157.43,1.09,1015.26
02:25.0,Farm A,29.96,83.98,23.78,7.11,,6.51,33.89,46.94,Soybeans,4103.99,82.09,3.76,1981.49
02:25.0,Farm B,,67.56,,7.92,16.72,39.61,17.44,29.57,Wheat,3598.43,122.49,0.96,1649.43
,Farm A,30.7,70.19,36.45,5.69,39.42,19.66,,36.74,Rice,2095.9,,1.97,1652.61
02:25.0,,,52.48,20.63,6.35,39.97,7.28,8.35,23.93,Rice,2538.86,147.9,2.79,388.35
02:25.0,Farm C,22.75,49.79,14.12,5.39,36.21,24.1,,45.34,Wheat,1195.73,73.96,2.36,989.8
02:25.0,Farm B,29.29,87.21,22,6.22,14.05,21.3,10.86,,Wheat,4280.16,,3.4,1107.92
,Farm C,15.88,86.23,42.49,6.82,13.7,3.62,4.21,30.2,Soybeans,2615.32,102.29,3.85,
02:25.0,Farm C,34.68,84.37,,7.24,12.43,34.03,8.33,5.41,Rice,2184.4,,3.65,1915.3
02:25.0,Farm A,16.96,,1.46,5.9,39.54,29.62,,49.45,,,,6.24,
02:25.0,Farm D,30.37,,1.74,7.64,11.17,0.89,10.21,44.5,Soybeans,4126.39,140.66,0.73,1820.06
,Farm D,30.44,38.94,25.44,5.31,,11.94,,,,,178.08,2.57,1344.42
02:25.0,Farm B,23.75,58.07,21.99,5.85,24.03,27.58,,38.55,Rice,4248.81,150.21,8.33,781.09
02:25.0,Farm B,17.55,72.05,49.97,,18.25,5.21,11.74,26.78,Rice,,119.4,7.72,
02:25.0,Farm B,28.16,84.9,16.28,5.5,35.52,28.55,3.59,28.9,Soybeans,3762.63,44.96,5.92,1187.14
02:25.0,Farm B,17.51,68.6,17.34,5.2,11.19,2.72,31.36,42.71,Soybeans,4434.86,96.2,4.02,
02:25.0,,27.14,33.88,29.75,5.29,29.1,12.52,38.17,35.92,Rice,,,0.2,993.98
02:25.0,Farm A,30.4,85.06,39.42,6.3,29.24,47.86,30.77,44.3,Soybeans,,67.56,0.2,1244.97
02:25.0,Farm B,16.02,60.92,19,7.5,10.1,4.96,3.85,33.26,Rice,3299.42,43.05,6.57,640.42
02:25.0,Farm B,34.94,65.77,22.84,5.74,13.2,44.81,11.96,11.7,Soybeans,3799.49,84.62,3.66,1766.35
02:25.0,Farm D,15.5,,,5.46,12.29,44.54,5.35,28.8,Corn,1603.43,28.17,2.7,1452.2
02:25.0,Farm B,33.15,68.41,39.8,7.51,36.22,35.78,2.23,19.52,Soybeans,1094.97,15.17,9.03,801.46
02:25.0,Farm D,17.3,85.91,,5.63,31.09,15.26,3.32,24.44,Soybeans,,55.54,1.3,532.3
02:25.0,Farm B,28.48,88.44,31.84,7.7,31.45,35.42,22.55,36.58,Soybeans,2862.19,,,
02:25.0,Farm D,28.05,80.78,18.91,,22.86,8.72,17.17,29.18,Wheat,3352.43,4.59,6.36,1139.02
02:25.0,,,81.85,36.13,6.07,29.58,31.16,12.1,38.49,Corn,1721.03,199.2,5.64,763.59
02:25.0,Farm A,19.77,77.48,21.09,5.55,27.02,19.77,2.6,21.17,,3471.25,,7.17,1490.09
02:25.0,,29.41,78.68,20,5.16,,20.86,9.85,33.23,Soybeans,4622.29,195.38,9.94,446.81
02:25.0,Farm D,34.23,68.9,16.86,6.15,14.12,0.68,5.38,1.67,Soybeans,2410.69,126.48,8.97,164.61
02:25.0,Farm B,18.88,72.14,45.98,6.89,20.12,,30.29,21.37,,4768.96,25.82,2.12,
02:25.0,Farm B,17.21,68.62,30.22,7.29,26.14,18.68,0.21,23.91,,1038.72,154.49,8.72,330.3
02:25.0,Farm C,33.62,60.28,13.09,7.41,35.55,12.79,37.36,23.91,Soybeans,4973.94,41.54,3.13,641.39
,Farm B,22.03,,29.4,6.74,23.31,40.5,3.74,11.76,Soybeans,3449.26,47.62,8.17,620.8
02:25.0,Farm B,24.12,37.55,6.21,7.65,38.24,16.32,38.54,44.55,Corn,3644.38,5.89,3.26,1433.46
02:25.0,Farm D,21.08,66.08,19.14,5.74,34.78,39.39,2.22,16.02,Rice,2034.74,187.48,7.19,893.03
02:25.0,Farm D,31.32,,13.43,7.04,29.49,1.08,31.54,27.92,Rice,1721.07,130.52,7.43,1459.25
02:25.0,Farm B,28.74,32.97,18.95,5.44,23.99,33.95,4.2,33.37,Corn,4792.31,5.68,9.06,374.65
02:25.0,Farm B,21.3,84.19,26.56,7.29,,43.88,12.62,34.15,Corn,2363.19,,3.26,
,Farm B,33.26,59.44,31.44,5.18,26.8,13.49,12.22,9.2,Wheat,,33.19,5.52,1705.62
02:25.0,Farm B,24.33,48.33,49.95,5.92,16.91,26.81,,20.68,Wheat,3882.61,140.88,9.77,120.67
02:25.0,Farm D,34.03,36.7,18.04,5.07,23.98,44.64,32.62,24.93,Rice,3982.33,66.38,4.17,609.61
02:25.0,Farm B,,76.3,39.13,7.8,30.32,5.91,22.53,19.97,Corn,1304.93,39.82,5.44,1683.64
,,32.7,,22.13,5.09,27.11,9.75,16.1,3.28,Corn,1395.15,2.74,3.02,1470.94
02:25.0,Farm C,23.57,48.83,45.9,,36.63,2.62,10.16,,Soybeans,3407.95,65.62,,1389.27
,Farm C,15.99,35.75,6.08,7.14,27.24,11.64,5.28,45.29,Wheat,3547.85,132.35,0.52,1318.5
02:25.0,Farm C,26.44,69.32,29.02,5.16,28.6,10.18,24.64,21.35,Wheat,3365.78,147.28,5.66,1347.31
02:25.0,Farm A,24.94,,36.57,6.03,34.51,16.41,8.51,17.46,Corn,4440.38,61.61,1.5,940.61
02:25.0,Farm D,,81.8,0.25,6.75,18.47,22,5.18,36.44,Soybeans,3081.43,98.5,0.38,
,Farm B,24.98,47.49,32.51,7.28,22.38,31.13,9.66,23.19,Soybeans,3604.4,117.7,4.01,401.74
02:25.0,Farm C,33.62,60.28,13.09,7.41,35.55,12.79,37.36,23.91,Soybeans,4973.94,41.54,3.13,641.39
02:25.0,Farm A,21.21,88.45,,7.44,34.49,19.79,3.78,17.63,,3561.38,,8.58,1836.01
02:25.0,Farm B,15.92,82.71,16.33,6.02,39.05,3.95,21.64,25.04,Wheat,4748.98,118.11,5.11,293.57
02:25.0,,32.75,61.04,10.15,7.99,13.93,45.66,,23.59,Wheat,,47.83,1.9,
02:25.0,Farm A,18.81,,39.76,5.02,38.23,32.51,39.75,30.99,Rice,4451.39,140.25,3.49,278.3
02:25.0,Farm C,20.36,83.36,43.56,6.99,,14.76,33.73,43.37,Corn,4144.15,142.64,,875.16
02:25.0,,32.36,79.1,34.99,6.59,22.57,27.18,34.47,43.78,Corn,1251.57,154.93,5.52,1720.35
02:25.0,Farm D,21.95,89.02,26.82,,,49.61,12.31,1.09,Wheat,2631.16,39.25,4.63,996.12
02:25.0,Farm A,16.89,71.22,25.58,7.86,13.98,10.96,20.78,1.32,Rice,1858.85,36.46,2.93,1840.33
02:25.0,Farm A,31.49,,18.95,7.21,26.41,14.71,14.8,0.04,Soybeans,3585.62,51.12,4,1606.65
02:25.0,Farm D,,,21.7,6.21,12.54,7.2,33.49,,Rice,1033.36,54.31,7.12,1210.43
02:25.0,,31.53,38.48,49.42,6.41,38.9,43.73,10.25,,Soybeans,,26.06,9.17,1710.26
02:25.0,Farm C,21.68,,43.42,5.41,32.1,2.35,,44.96,Rice,1718.54,137.43,1.22,1900.21
02:25.0,Farm B,21.28,,22.96,7.04,31.33,8.79,7.77,4.8,Rice,4589,8.4,5.34,1291.21
02:25.0,Farm C,16.86,32.25,48.98,6.86,13.27,36.92,13.64,28.45,Soybeans,,65.58,2.33,748.27
02:25.0,Farm B,34.02,41.58,4.02,6.22,36.26,18.97,33.86,13.38,Corn,3734.82,171.01,7.23,630.68
02:25.0,Farm D,32.54,49.49,,5.15,,45.75,12.43,26.31,Soybeans,4067.35,180.9,4.09,
02:25.0,Farm B,,,44.77,7.2,29.3,18.83,11.11,18.15,Corn,1906.05,72.89,1.36,1546.64
02:25.0,Farm B,17.87,45.16,,6.58,22.08,34.15,5.62,,Corn,2514.68,86.68,7.54,366
,Farm D,34.5,89.01,30.5,6.93,13.82,41.92,27.56,7.68,Rice,2687.79,174.31,5.72,
02:25.0,Farm A,16.64,81.97,46.55,6.75,32.55,36.02,17.9,46.1,Soybeans,3791.42,22.92,0.44,586.21
,,24.31,54.82,7.69,7.69,37.12,47.34,4.38,23.63,Corn,3191.77,45.55,5.66,989.62
02:25.0,Farm C,31.09,56.15,26.14,5.4,,48.68,27.9,38.34,Corn,1627.29,169.26,7.71,1026.01
02:25.0,Farm D,33.14,89.35,32.23,6.92,13.86,,13.19,46.32,Rice,4654.19,165.65,,548.5
02:25.0,Farm D,22.07,79.06,,7.34,,35.89,32.14,19.1,Corn,2407.09,47.84,3.05,1032.22
02:25.0,Farm B,21.03,64.41,8,7.91,32.84,34.85,,39.76,Wheat,4379.79,8.31,8.27,321.1
02:25.0,,31.79,31.78,17.69,6.11,17.91,14,39.04,32.15,Rice,3381.85,95.13,5.29,
